Ticker,Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
HON,Buy & Hold,17.73,-27.13,0,-9.75,4.9,0.02,10.02,-6.37,20.68
HON,"SMA(9,21)",-3.04,-31.18,34,-1.53,11.59,3.41,-8.99,-20.27,17.6
HON,"SMA(20,50)",-22.14,-34.64,16,-14.24,-16.3,5.78,-2.53,-5.81,11.69
HON,"SMA(50,200)",-21.17,-31.42,5,0.0,-0.11,-13.43,10.02,-18.74,1.96
HON,"SMA(9,50)",-26.31,-37.01,20,-10.94,-14.92,5.37,-3.01,-17.68,15.6
HON,"SMA(21,200)",-11.35,-25.61,7,0.0,-7.97,-10.28,10.02,-10.88,9.5
HON,"EMA(9,21)",-14.66,-31.74,32,-3.77,3.59,-7.81,-7.01,-16.02,18.91
HON,"EMA(20,50)",-21.84,-34.21,16,-7.24,-14.11,-3.05,-2.45,-6.05,10.41
HON,"EMA(50,200)",-23.86,-34.24,5,0.0,0.61,-15.7,10.02,-23.97,7.32
HON,"EMA(9,50)",-28.14,-35.48,28,-8.92,-11.56,-5.42,-5.25,-6.92,6.94
HON,"EMA(21,200)",-14.05,-24.49,9,-3.18,-0.84,-8.37,8.22,-20.01,12.87
IBM,Buy & Hold,133.09,-30.96,0,-0.61,10.64,21.85,39.27,38.23,-9.63
IBM,"SMA(9,21)",71.99,-28.91,32,-2.72,-7.87,14.62,36.21,45.65,-15.62
IBM,"SMA(20,50)",54.41,-19.47,13,-11.63,-1.2,19.37,33.85,8.4,2.11
IBM,"SMA(50,200)",69.0,-28.69,3,0.0,-6.16,11.88,39.27,38.23,-16.38
IBM,"SMA(9,50)",45.79,-28.84,17,-8.11,-17.79,18.83,30.49,30.58,-4.68
IBM,"SMA(21,200)",64.95,-28.69,4,0.0,1.25,12.04,39.27,29.45,-19.35
IBM,"EMA(9,21)",87.54,-28.03,24,-5.59,-7.29,22.8,46.97,42.24,-16.53
IBM,"EMA(20,50)",13.7,-35.68,13,-11.53,-19.98,18.13,32.33,10.36,-6.91
IBM,"EMA(50,200)",42.46,-35.09,6,-4.05,-15.49,7.43,39.27,38.23,-15.05
IBM,"EMA(9,50)",48.55,-30.14,18,-12.39,-11.22,19.24,33.97,23.15,-2.93
IBM,"EMA(21,200)",37.94,-29.59,6,-3.42,-15.15,15.31,39.27,38.23,-24.17
JNJ,Buy & Hold,60.49,-18.41,0,4.64,5.97,-8.58,-4.81,47.48,12.76
JNJ,"SMA(9,21)",27.12,-18.77,32,7.6,-6.6,-2.05,-5.8,27.68,7.37
JNJ,"SMA(20,50)",40.57,-17.46,14,-4.67,3.11,-8.76,4.28,29.75,15.84
JNJ,"SMA(50,200)",-8.06,-46.29,7,0.0,-6.04,-22.48,-13.35,29.2,12.76
JNJ,"SMA(9,50)",28.24,-25.4,18,-3.02,0.53,-13.25,-2.88,33.86,16.64
JNJ,"SMA(21,200)",15.91,-32.33,7,0.0,-0.23,-13.58,-10.99,33.94,12.76
JNJ,"EMA(9,21)",36.65,-14.06,28,1.3,-5.59,0.55,-1.04,29.01,11.3
JNJ,"EMA(20,50)",11.91,-27.78,14,-3.52,-9.31,-9.69,1.73,25.96,10.51
JNJ,"EMA(50,200)",-3.86,-42.75,9,-7.07,-0.15,-17.0,-13.1,27.4,12.76
JNJ,"EMA(9,50)",15.94,-28.08,19,-0.52,-10.56,-12.72,3.21,31.67,9.86
JNJ,"EMA(21,200)",3.77,-34.46,12,-7.22,1.01,-15.9,-7.11,25.7,12.76
JPM,Buy & Hold,102.77,-38.77,0,-3.51,-12.64,30.63,44.29,37.27,-7.02
JPM,"SMA(9,21)",31.84,-38.57,29,2.01,-28.27,38.99,15.51,16.34,-3.54
JPM,"SMA(20,50)",46.85,-19.56,12,1.77,-4.86,13.04,27.45,14.59,-8.14
JPM,"SMA(50,200)",126.33,-24.42,1,0.0,-0.78,30.63,44.29,37.27,-11.83
JPM,"SMA(9,50)",21.57,-37.65,16,2.59,-28.59,15.29,27.73,22.15,-7.75
JPM,"SMA(21,200)",115.14,-24.42,2,0.0,-0.73,30.63,44.29,37.27,-16.24
JPM,"EMA(9,21)",29.37,-35.64,28,-0.43,-25.19,23.36,17.32,31.45,-8.71
JPM,"EMA(20,50)",43.1,-25.25,12,-5.13,-10.88,11.21,44.29,25.42,-15.9
JPM,"EMA(50,200)",92.27,-25.2,4,-7.68,-13.42,30.63,44.29,37.27,-7.02
JPM,"EMA(9,50)",40.01,-31.23,20,-9.53,-11.41,17.78,38.39,26.06,-14.98
JPM,"EMA(21,200)",73.28,-24.42,6,-4.82,-11.55,20.16,44.29,37.27,-13.5
KO,Buy & Hold,68.83,-17.27,0,9.57,10.61,-4.43,8.88,15.6,15.81
KO,"SMA(9,21)",43.85,-10.67,29,4.47,4.48,6.68,3.82,10.43,7.75
KO,"SMA(20,50)",29.47,-15.37,15,5.07,4.49,-8.78,14.55,6.77,5.7
KO,"SMA(50,200)",0.49,-26.86,6,0.0,-7.18,-10.63,7.95,-3.11,15.81
KO,"SMA(9,50)",19.03,-14.73,18,-5.32,2.08,-1.85,12.71,2.88,8.21
KO,"SMA(21,200)",16.54,-19.0,6,0.0,-0.56,-7.47,10.19,-0.74,15.81
KO,"EMA(9,21)",32.68,-12.47,27,-1.22,3.71,4.2,11.81,5.38,5.5
KO,"EMA(20,50)",8.34,-18.59,16,-5.64,2.82,-8.66,10.94,-0.67,10.95
KO,"EMA(50,200)",11.82,-22.02,7,0.48,-2.92,-6.89,6.58,-0.25,15.81
KO,"EMA(9,50)",16.53,-16.66,21,-0.86,-2.94,-3.8,14.69,5.34,4.2
KO,"EMA(21,200)",8.47,-20.65,10,-3.55,3.11,-11.3,8.63,-2.25,15.81
MCD,Buy & Hold,32.78,-19.04,0,16.2,0.51,15.06,0.14,7.89,-8.54
MCD,"SMA(9,21)",27.7,-16.04,32,-1.08,-2.67,23.74,-4.27,7.13,4.51
MCD,"SMA(20,50)",16.28,-13.75,15,16.1,-7.71,12.48,4.6,-3.79,-4.13
MCD,"SMA(50,200)",-12.07,-27.37,7,0.0,5.64,-3.6,-8.38,4.21,-9.57
MCD,"SMA(9,50)",8.65,-18.41,21,9.54,-11.72,9.98,5.31,-1.71,-1.31
MCD,"SMA(21,200)",-15.83,-22.73,7,0.0,-16.51,5.14,-7.14,4.59,-1.27
MCD,"EMA(9,21)",1.18,-15.8,32,-0.94,-1.97,7.53,-1.15,-3.38,1.45
MCD,"EMA(20,50)",-3.33,-20.92,17,11.56,-14.82,9.78,-1.93,-7.05,1.64
MCD,"EMA(50,200)",-1.75,-21.38,7,11.21,-9.16,0.57,-4.48,7.89,-6.17
MCD,"EMA(9,50)",10.33,-16.35,23,8.44,-8.39,10.5,3.03,1.94,-4.3
MCD,"EMA(21,200)",-19.85,-34.01,10,11.56,-30.89,7.54,-7.43,4.9,-0.46
MMM,Buy & Hold,7.53,-54.07,0,-11.2,-29.63,-3.33,46.12,26.36,-3.6
MMM,"SMA(9,21)",28.19,-29.38,34,-7.68,5.48,-1.93,55.34,3.18,-16.25
MMM,"SMA(20,50)",-15.57,-41.32,18,-7.81,-27.98,7.52,25.43,5.97,-11.01
MMM,"SMA(50,200)",68.29,-18.77,2,0.0,0.0,0.0,46.14,26.36,-8.87
MMM,"SMA(9,50)",-38.77,-48.47,22,-8.68,-26.08,-9.71,22.66,-2.9,-15.64
MMM,"SMA(21,200)",46.47,-19.86,2,0.0,0.0,5.97,23.47,26.36,-11.41
MMM,"EMA(9,21)",-8.2,-36.05,33,-8.82,-16.13,2.63,34.83,5.31,-17.62
MMM,"EMA(20,50)",-15.61,-40.12,13,-0.95,-22.12,-6.73,25.6,6.8,-12.56
MMM,"EMA(50,200)",46.87,-18.77,3,-1.32,0.0,0.0,29.25,26.36,-8.87
MMM,"EMA(9,50)",-30.55,-36.45,23,-6.11,-16.21,-2.74,20.71,-14.98,-11.57
MMM,"EMA(21,200)",45.95,-18.71,3,-0.95,0.0,2.13,27.52,26.36,-10.46
MRK,Buy & Hold,95.61,-43.44,0,9.75,49.42,1.01,-6.26,9.79,14.74
MRK,"SMA(9,21)",21.23,-33.4,35,0.05,46.66,-9.96,-1.18,-11.09,4.44
MRK,"SMA(20,50)",24.16,-26.95,13,-6.38,16.44,-8.68,15.72,2.16,5.5
MRK,"SMA(50,200)",101.73,-16.4,3,0.0,44.34,0.35,0.18,21.16,14.74
MRK,"SMA(9,50)",9.18,-28.35,19,-12.72,19.43,-9.17,4.06,5.21,5.33
MRK,"SMA(21,200)",99.84,-16.4,3,0.0,44.34,-3.4,-1.03,26.22,14.74
MRK,"EMA(9,21)",42.19,-29.74,32,1.73,35.72,-8.14,1.29,3.18,7.27
MRK,"EMA(20,50)",38.11,-24.28,12,-9.01,22.58,-8.58,16.48,10.27,5.46
MRK,"EMA(50,200)",115.6,-20.17,3,8.75,49.42,-4.02,9.43,10.09,14.74
MRK,"EMA(9,50)",24.8,-22.92,18,-6.41,19.71,-15.56,17.42,4.57,7.44
MRK,"EMA(21,200)",111.37,-20.17,4,8.75,49.42,-2.75,4.46,11.6,14.74
MSFT,Buy & Hold,79.84,-37.15,0,36.45,-28.02,58.19,12.93,15.58,-11.32
MSFT,"SMA(9,21)",26.18,-38.96,34,21.02,-35.35,41.96,2.31,15.49,-3.86
MSFT,"SMA(20,50)",-5.17,-43.5,14,6.89,-34.54,28.43,-3.92,9.04,0.73
MSFT,"SMA(50,200)",38.13,-23.54,4,0.0,2.52,39.01,6.51,-2.45,-6.72
MSFT,"SMA(9,50)",37.41,-24.25,16,8.12,-18.84,45.28,-3.09,8.66,2.35
MSFT,"SMA(21,200)",43.81,-19.91,4,0.0,0.0,40.51,3.32,4.29,-5.01
MSFT,"EMA(9,21)",65.12,-35.67,25,20.45,-28.31,47.16,4.05,20.02,4.06
MSFT,"EMA(20,50)",31.89,-30.62,14,34.61,-28.95,41.94,-8.61,5.54,0.73
MSFT,"EMA(50,200)",50.64,-20.54,3,34.61,-18.35,38.22,12.93,-1.3,-11.03
MSFT,"EMA(9,50)",50.25,-26.7,16,28.7,-22.85,42.29,-3.07,7.18,2.35
MSFT,"EMA(21,200)",50.54,-34.27,6,34.61,-26.07,29.32,12.93,9.05,-5.01
NKE,Buy & Hold,-62.09,-74.64,0,24.34,-29.04,-6.01,-29.11,-13.83,-25.15
NKE,"SMA(9,21)",-39.09,-55.37,28,15.63,-3.76,5.64,-26.82,-15.88,-15.83
NKE,"SMA(20,50)",-45.72,-54.23,17,-8.71,4.77,-10.58,-27.14,-8.77,-4.51
NKE,"SMA(50,200)",-32.99,-35.29,3,0.0,0.0,-15.36,-5.83,-15.93,0.0
NKE,"SMA(9,50)",-48.37,-50.14,16,-10.52,4.19,-1.69,-26.28,-12.92,-12.27
NKE,"SMA(21,200)",-30.24,-36.67,3,0.0,-0.47,-14.46,-7.03,-11.87,0.0
NKE,"EMA(9,21)",-39.87,-51.35,26,12.96,-7.44,-6.29,-25.87,-11.18,-6.8
NKE,"EMA(20,50)",-38.59,-49.86,11,5.29,-0.17,3.17,-35.33,-12.43,0.0
NKE,"EMA(50,200)",-40.19,-51.17,4,9.77,-12.25,-24.99,-7.14,-10.86,0.0
NKE,"EMA(9,50)",-57.13,-62.36,20,0.86,2.04,-2.83,-34.21,-26.13,-11.8
NKE,"EMA(21,200)",-25.43,-36.1,4,9.77,-14.36,-13.16,-3.23,-5.6,0.0
NVDA,Buy & Hold,1220.61,-66.34,0,80.92,-50.26,239.02,171.25,38.92,14.89
NVDA,"SMA(9,21)",244.27,-51.66,30,31.56,-35.76,111.99,106.58,1.56,-8.41
NVDA,"SMA(20,50)",305.86,-63.6,15,22.31,-56.99,137.97,148.39,21.71,7.25
NVDA,"SMA(50,200)",682.16,-28.41,3,0.0,-6.49,157.17,171.25,4.37,14.89
NVDA,"SMA(9,50)",424.29,-39.21,19,36.54,-24.88,110.74,104.46,10.85,7.01
NVDA,"SMA(21,200)",385.87,-34.1,4,0.0,-30.67,150.2,171.25,9.97,-6.09
NVDA,"EMA(9,21)",479.6,-47.67,29,45.15,-18.49,137.54,100.27,3.88,-0.87
NVDA,"EMA(20,50)",480.96,-56.86,13,75.38,-49.04,172.21,93.09,28.09,-3.45
