Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
HNR1.DE,"PEAD-Short [+1,+5]",23.92,-7.29,60.0,20,2.34,12.36,-4.16,4.46,1.09,6.47
HNR1.DE,"PEAD-Long [+1,+20]",36.75,-10.56,70.0,20,1.55,18.16,13.88,6.84,-7.33,1.08
HNR1.DE,"Full [-5,+5]",29.25,-12.2,60.0,20,9.47,8.19,-12.2,19.13,-1.37,5.78
HEI.DE,Buy & Hold,170.69,-45.85,—,0,-17.93,-6.17,57.82,51.95,90.23,-22.95
HEI.DE,"Pre-Drift [-5,-1]",-6.73,-12.7,50.0,6,2.88,-9.34,,,,
HEI.DE,"Announcement [-1,+1]",-13.4,-14.41,33.3,6,-0.36,-13.08,,,,
HEI.DE,"PEAD-Short [+1,+5]",14.74,-0.95,66.7,6,1.18,13.4,,,,
HEI.DE,"PEAD-Long [+1,+20]",3.91,-8.91,33.3,6,-8.8,13.93,,,,
HEI.DE,"Full [-5,+5]",-7.32,-18.2,66.7,6,3.72,-10.65,,,,
HEN3.DE,Buy & Hold,-2.53,-33.06,—,0,-17.97,-5.71,14.92,19.23,-15.34,8.63
HEN3.DE,"Pre-Drift [-5,-1]",-0.19,-1.49,66.7,3,1.26,-1.43,,,,
HEN3.DE,"Announcement [-1,+1]",-2.51,-2.3,33.3,3,-1.83,-0.7,,,,
HEN3.DE,"PEAD-Short [+1,+5]",1.59,0.0,66.7,3,-4.87,6.8,,,,
HEN3.DE,"PEAD-Long [+1,+20]",-6.65,-4.19,33.3,3,-7.54,0.96,,,,
HEN3.DE,"Full [-5,+5]",-1.14,0.0,66.7,3,-5.44,4.54,,,,
IFX.DE,Buy & Hold,136.54,-51.12,—,0,28.38,-29.66,34.15,-16.04,21.26,91.82
IFX.DE,"Pre-Drift [-5,-1]",9.23,-18.72,45.0,20,5.98,19.64,-3.08,-7.75,-8.14,4.89
IFX.DE,"Announcement [-1,+1]",73.3,-13.61,70.0,20,4.9,3.18,10.11,11.11,30.44,0.34
